"url","restaurant","restaurant_link","address","phone","image","image_alt","image_link"
"https://www.yelp.com/search?find_loc=Atlanta,+GA,+USA&start=10&cflt=food","Vintage Frozen Custard","https://www.yelp.com/adredir?ad_business_id=hyV64Ri_JiLlaASBJiNQDw&campaign_id=YMm-TiStyISQxULxjRPBcw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvintage-frozen-custard-atlanta&request_id=241b10af6fab89da&signature=045bb01c19f504a6c3dc3e4f724bc30f13c8264d46ae80a8c1f52ccdb3cc83f3&slot=0","1021 Howell Mill Rd; Atlanta, GA 30318; (678) 609-8468","1021 Howell Mill Rd; Atlanta, GA 30318; (678) 609-8468","https://s3-media3.fl.yelpcdn.com/photo/pAXP6WHrO_p88riyuOWFRg/30s.jpg","Michael P.","https://www.yelp.com/adredir?ad_business_id=hyV64Ri_JiLlaASBJiNQDw&campaign_id=YMm-TiStyISQxULxjRPBcw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvintage-frozen-custard-atlanta%3Fhrid%3DLTKyS7TjAG387yJn7Keadg&request_id=241b10af6fab89da&signature=914f90e52e5ab673a69e92fb036107236a5d686eb2788e45173f469467c617ba&slot=0"
"https://www.yelp.com/search?find_loc=Atlanta,+GA,+USA&start=10&cflt=food","Juiceheads ATL","https://www.yelp.com/adredir?ad_business_id=9mHuE4-4jTKJBkmG66zO6Q&campaign_id=08TYbTR5zzvi1E7cmUlm5g&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjuiceheads-atl-atlanta&request_id=241b10af6fab89da&signature=a4729e74624d598f3d4e5ddb0972fb33a090925376dd4f5e58865197d0af0daf&slot=1","2591 Piedmont Rd Ne; Atlanta, GA 30324; (470) 465-1016","2591 Piedmont Rd Ne; Atlanta, GA 30324; (470) 465-1016","https://s3-media2.fl.yelpcdn.com/photo/DiH5Js97rcu1cGes_ZYCkg/30s.jpg","Danielle P.","https://www.yelp.com/adredir?ad_business_id=9mHuE4-4jTKJBkmG66zO6Q&campaign_id=08TYbTR5zzvi1E7cmUlm5g&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjuiceheads-atl-atlanta%3Fhrid%3DZrN1Egem3YIMlS6PRBdkGg&request_id=241b10af6fab89da&signature=c44fb70216b0feedc0f778a238669cf2f04618b246f8b1686b32cff949b3b312&slot=1"
"https://www.yelp.com/search?find_loc=Atlanta,+GA,+USA&start=10&cflt=food","LottaFrutta - Atlanta","https://www.yelp.com/biz/lottafrutta-atlanta-atlanta","590 Auburn Ave NE; Atlanta, GA 30312; (404) 588-0857","590 Auburn Ave NE; Atlanta, GA 30312; (404) 588-0857","https://s3-media1.fl.yelpcdn.com/photo/iLawO0ZzILxWq2Aity-3sA/30s.jpg","Mary P.","https://www.yelp.com/user_details?userid=nx5-LzxIVXlQrKpWL_3PVQ"
"https://www.yelp.com/search?find_loc=Atlanta,+GA,+USA&start=10&cflt=food","Highland Bakery","https://www.yelp.com/biz/highland-bakery-atlanta","655 Highland Ave NE; Atlanta, GA 30312; (404) 586-0772","655 Highland Ave NE; Atlanta, GA 30312; (404) 586-0772","https://s3-media2.fl.yelpcdn.com/photo/hPfkgKNpVQHXsph3O_IAjg/30s.jpg","MD W.","https://www.yelp.com/user_details?userid=bs7ACxv1q39x6XqbrwDUGw"
"https://www.yelp.com/search?find_loc=Atlanta,+GA,+USA&start=10&cflt=food","Murphy’s","https://www.yelp.com/biz/murphys-atlanta","997 Virginia Ave NE; Atlanta, GA 30306; (404) 872-0904","997 Virginia Ave NE; Atlanta, GA 30306; (404) 872-0904","https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/d53e550ec367/assets/img/default_avatars/user_30_square.png","Keith M.","https://www.yelp.com/user_details?userid=Cc3mEkqYoeMEvSuozu7ymg"
"https://www.yelp.com/search?find_loc=Atlanta,+GA,+USA&start=10&cflt=food","The Flying Biscuit Cafe","https://www.yelp.com/biz/the-flying-biscuit-cafe-atlanta-5","1655 Mclendon Ave; Atlanta, GA 30307; (404) 687-8888","1655 Mclendon Ave; Atlanta, GA 30307; (404) 687-8888","https://s3-media2.fl.yelpcdn.com/photo/FaJ7F2R6bLghI58CGSjjLg/30s.jpg","Brit V.","https://www.yelp.com/user_details?userid=quZxT36k8lWzn6dONlVdnQ"
"https://www.yelp.com/search?find_loc=Atlanta,+GA,+USA&start=10&cflt=food","ADios Cafe","https://www.yelp.com/biz/adios-cafe-atlanta","180 Walker St SW; Atlanta, GA 30313; (404) 574-5678","180 Walker St SW; Atlanta, GA 30313; (404) 574-5678","https://s3-media4.fl.yelpcdn.com/photo/gaWP8rh0u-Wo3npHz8ujww/30s.jpg","Jillian M.","https://www.yelp.com/user_details?userid=NWjOxPJuTuz7oWGBk-Q6ZA"
"https://www.yelp.com/search?find_loc=Atlanta,+GA,+USA&start=10&cflt=food","Alon’s","https://www.yelp.com/biz/alons-atlanta","1394 N Highland Ave NE; Atlanta, GA 30306; (404) 872-6000","1394 N Highland Ave NE; Atlanta, GA 30306; (404) 872-6000","https://s3-media1.fl.yelpcdn.com/photo/hnxMPuVQgap4Am4DEl3LdA/30s.jpg","Hannah W.","https://www.yelp.com/user_details?userid=DLxYru8GJgaQCI4t5XINwQ"
"https://www.yelp.com/search?find_loc=Atlanta,+GA,+USA&start=10&cflt=food","Little’s Food Store and Grill","https://www.yelp.com/biz/littles-food-store-and-grill-atlanta","198 Carroll St; Atlanta, GA 30312; (404) 963-7012","198 Carroll St; Atlanta, GA 30312; (404) 963-7012","https://s3-media3.fl.yelpcdn.com/photo/yY9b7mDz_2Fqv8E2WGN-Lg/30s.jpg","Mallory T.","https://www.yelp.com/user_details?userid=jIUABrZJQxEeescG9kaZTQ"
"https://www.yelp.com/search?find_loc=Atlanta,+GA,+USA&start=10&cflt=food","The Cookie Studio","https://www.yelp.com/biz/the-cookie-studio-atlanta","30 Pharr Rd; Atlanta, GA 30305; (404) 373-8527","30 Pharr Rd; Atlanta, GA 30305; (404) 373-8527","https://s3-media4.fl.yelpcdn.com/photo/v9d_aacutjArRH-DVLjv8g/30s.jpg","Sana A.","https://www.yelp.com/user_details?userid=9CyHxKUSvunu2Gvfbdotlw"
